CC,DD,AAdk_BBrv,AAdk_BBmn,AAdk_BBtw,Average
CChv,,301.70,715.92,530.13,515.92
,  DDcl,46.06,848.50,569.97,488.18
,  DDhm,822.10,723.18,587.15,710.81
,  DDnt,36.95,576.08,433.27,348.77
CCbx,,777.90,726.25,431.86,645.34
,  DDrz,812.24,975.38,567.20,784.94
,  DDcs,565.58,978.08,454.48,666.05
,  DDnw,955.89,225.30,273.91,485.03
CCst,,262.22,420.44,471.21,384.62
,  DDlp,47.30,465.42,512.96,341.89
,  DDnt,442.32,720.92,142.31,435.19
,  DDnw,297.05,74.97,758.35,376.79
Average,,447.28,620.87,477.73,515.29
,  ,447.28,620.87,477.73,515.29
